NOME;CPF;DEPENDENCIA;VALOR
Helena da Cruz;128.954.306-24;MARIDO;150,00
Ryan da Cruz;830.612.457-07;MARIDO;150,00
Maitê Pires;345.679.120-80;TITULAR;300,00
Luiz Miguel da Cruz;617.038.592-86;TITULAR;175,50
Paulo da Cruz;036.897.142-22;MARIDO;175,50
Lorena Siqueira;627.150.983-59;TITULAR;250,00
Eduardo Siqueira;823.479.510-41;MARIDO;250,00
Zoe Siqueira;560.493.281-70;MARIDO;250,00
Vicente Pacheco;439.802.165-51;TITULAR;250,00
Maria Sophia Pacheco;801.427.653-17;MARIDO;250,00
Vicente Pacheco;392.417.058-41;MARIDO;250,00
Ana Beatriz Oliveira;672.314.895-91;TITULAR;200,00
Rafaela Abreu;275.043.816-08;TITULAR;175,50
Hadassa Abreu;075.149.826-20;MARIDO;175,50
Catarina Vieira;256.034.719-99;TITULAR;150,00
Heitor Vieira;182.603.457-90;FILHO(A);150,00
Lorena Vieira;986.143.075-00;ESPOSA;150,00
Theodoro Pinto;179.543.860-66;TITULAR;200,00
Joana da Cruz;895.132.064-24;TITULAR;300,00
Isadora da Cruz;102.796.438-96;ESPOSA;300,00
Maria Cecília Nunes;287.634.951-55;TITULAR;300,00
Maria Laura Nunes;645.083.192-89;FILHO(A);300,00
Lunna Leão;026.817.594-20;TITULAR;175,50
Maria Liz Leão;684.950.312-05;FILHO(A);175,50
Ravi Lucca Leão;893.654.712-73;PAI/MÃE;175,50
Yan Silva;830.426.571-08;TITULAR;250,00
Ian Silva;046.753.982-00;FILHO(A);250,00
Daniela Aparecida;807.593.412-14;TITULAR;300,00
Vinicius Fernandes;179.340.628-69;TITULAR;200,00
Enzo Fernandes;382.419.670-04;FILHO(A);200,00
Sara da Cruz;670.382.951-95;TITULAR;300,00
Zoe da Cruz;358.142.967-55;PAI/MÃE;300,00
Laís da Cruz;480.612.579-20;ESPOSA;300,00
Gael da Cruz;175.490.826-85;ESPOSA;300,00
Emanuel da Paz;873.290.645-56;TITULAR;150,00
Luana da Paz;835.941.260-05;FILHO(A);150,00
Dom Albuquerque;463.912.085-06;TITULAR;200,00
Vitor Hugo Albuquerque;810.456.237-17;ESPOSA;200,00
Rebeca Albuquerque;802.193.546-42;PAI/MÃE;200,00
Josué Albuquerque;439.765.028-47;FILHO(A);200,00
Letícia Lima;984.761.532-28;TITULAR;175,50
Lunna Lima;649.031.852-06;ESPOSA;175,50
Rodrigo Novaes;803.179.524-04;TITULAR;250,00
Vitória Mendonça;394.506.782-00;TITULAR;200,00
Diego Montenegro;781.926.540-01;TITULAR;250,00
João Montenegro;564.328.109-06;PAI/MÃE;250,00
Antony Gonçalves;490.683.175-39;TITULAR;200,00
Lorenzo Gonçalves;028.159.647-67;FILHO(A);200,00
Manuela Viana;765.148.023-62;TITULAR;175,50
Nina Viana;950.287.431-50;MARIDO;175,50
Thomas Viana;507.641.239-80;MARIDO;175,50
Vitor Gabriel Viana;540.973.281-23;MARIDO;175,50
Pedro Henrique Costa;179.034.268-69;TITULAR;150,00
Enrico Costa;369.254.810-98;FILHO(A);150,00
Emanuella Fogaça;479.305.621-07;TITULAR;250,00
Rafael Fogaça;421.086.537-08;FILHO(A);250,00
Amanda Fogaça;167.840.352-08;FILHO(A);250,00
Gael Novaes;812.053.964-89;TITULAR;150,00
João Gabriel Novaes;975.432.601-07;FILHO(A);150,00
Antony Novaes;189.526.704-85;MARIDO;150,00
Antônio Costa;581.390.742-41;TITULAR;250,00
Isadora Costa;350.429.178-88;PAI/MÃE;250,00
Alícia Costa;926.408.713-31;PAI/MÃE;250,00
Alexia das Neves;859.340.761-75;TITULAR;200,00
Evelyn Nogueira;862.130.754-53;TITULAR;250,00
Laura Mendes;340.719.826-40;TITULAR;175,50
Eloá Mendes;298.375.106-68;PAI/MÃE;175,50
Raquel Cunha;678.450.912-94;TITULAR;250,00
Rhavi Cunha;375.412.908-23;ESPOSA;250,00
Isaac Cunha;317.082.964-50;FILHO(A);250,00
Benjamim Melo;243.671.890-31;TITULAR;150,00
Luiz Miguel Moreira;508.349.716-66;TITULAR;175,50
Maria Alice Cunha;326.850.194-05;TITULAR;200,00
Sara Cunha;059.186.374-00;ESPOSA;200,00
Maria Liz Cunha;396.701.854-75;FILHO(A);200,00
Bella Viana;376.180.429-69;TITULAR;200,00
Matheus Barbosa;473.652.108-26;TITULAR;200,00
Antony Barbosa;872.514.063-90;FILHO(A);200,00
Lorena Campos;052.631.978-02;TITULAR;300,00
Isabella Cavalcanti;916.485.230-05;TITULAR;200,00
Davi Lucca Almeida;923.718.456-55;TITULAR;175,50
Isadora Almeida;496.513.702-70;ESPOSA;175,50
Brayan Almeida;874.312.065-26;FILHO(A);175,50
Enrico Almeida;567.028.419-49;PAI/MÃE;175,50
Júlia da Rosa;619.875.043-48;TITULAR;300,00
José Miguel da Rosa;214.786.930-96;ESPOSA;300,00
Guilherme da Rosa;069.318.574-01;FILHO(A);300,00
Vitor da Rosa;914.653.270-61;FILHO(A);300,00
Heitor Fonseca;840.732.651-80;TITULAR;150,00
Ester Cardoso;640.871.932-50;TITULAR;175,50
Pedro Almeida;724.319.086-31;TITULAR;150,00
Ana Lívia Almeida;930.768.142-22;PAI/MÃE;150,00
Juan Peixoto;048.912.637-50;TITULAR;200,00
Stephany Peixoto;198.546.370-93;ESPOSA;200,00
Fernando Peixoto;480.129.673-40;FILHO(A);200,00
Ana Julia Peixoto;147.830.596-75;ESPOSA;200,00
Ana Julia Garcia;876.512.403-08;TITULAR;250,00
Cauê Silveira;026.574.931-06;TITULAR;150,00
Calebe Silveira;543.201.897-79;FILHO(A);150,00
Felipe Silveira;956.174.803-75;FILHO(A);150,00
Rhavi Siqueira;128.093.467-04;TITULAR;300,00
Theodoro Siqueira;315.247.980-88;ESPOSA;300,00
Ana Laura Siqueira;089.267.534-92;ESPOSA;300,00
Eduarda Leão;568.192.370-30;TITULAR;300,00
Guilherme Leão;375.014.628-44;FILHO(A);300,00
Manuella Leão;214.350.978-23;FILHO(A);300,00
Olívia Leão;914.286.035-06;ESPOSA;300,00
Vicente Montenegro;601.785.924-20;TITULAR;300,00
Stella Montenegro;624.951.837-19;ESPOSA;300,00
Mariana Montenegro;976.105.483-75;PAI/MÃE;300,00
Maitê Pereira;674.039.185-84;TITULAR;175,50
Manuella Pacheco;245.693.871-28;TITULAR;150,00
Gabriel Ferreira;579.683.421-55;TITULAR;300,00
Thales Ferreira;962.314.750-34;FILHO(A);300,00
Bella Ferreira;173.852.964-91;PAI/MÃE;300,00
Benjamim Ferreira;157.349.862-91;ESPOSA;300,00
Mariane Oliveira;958.613.470-93;TITULAR;250,00
Thiago Oliveira;248.091.657-01;FILHO(A);250,00
Fernanda Oliveira;958.361.720-21;PAI/MÃE;250,00
Leonardo Vieira;891.276.430-69;TITULAR;200,00
Isabella Vieira;819.074.563-84;FILHO(A);200,00
Stephany Vieira;083.617.592-12;ESPOSA;200,00
Marcos Vinicius Vieira;481.260.759-02;MARIDO;200,00
Arthur Gabriel Monteiro;824.563.190-60;TITULAR;250,00
Natália Monteiro;293.467.581-55;MARIDO;250,00
Lavínia Monteiro;617.380.952-40;PAI/MÃE;250,00
Maria Alice Aparecida;358.902.467-47;TITULAR;150,00
Mariah Aparecida;492.807.165-49;FILHO(A);150,00
Liz Aparecida;829.605.314-42;FILHO(A);150,00
Lavínia Mendonça;024.187.635-44;TITULAR;300,00
Clarice Mendonça;815.279.364-73;FILHO(A);300,00
Bernardo Mendonça;154.260.378-17;PAI/MÃE;300,00
Lunna Vasconcelos;760.853.419-20;TITULAR;250,00
Luiza Vasconcelos;960.453.721-07;FILHO(A);250,00
Clara Barros;497.521.368-00;TITULAR;200,00
Ana Clara Barros;539.186.740-10;PAI/MÃE;200,00
Renan Barros;695.870.234-47;FILHO(A);200,00
Vicente Garcia;427.095.618-67;TITULAR;150,00
Elisa Garcia;790.253.864-74;ESPOSA;150,00
Agatha Garcia;579.816.234-64;PAI/MÃE;150,00
Bruna Garcia;138.724.695-09;FILHO(A);150,00
Luiz Fernando da Cunha;612.593.840-98;TITULAR;300,00
Cauê da Rocha;621.345.089-06;TITULAR;150,00
Gael da Rocha;049.136.852-60;ESPOSA;150,00
Allana da Rocha;074.352.698-83;PAI/MÃE;150,00
Maria Helena da Rocha;246.175.390-34;MARIDO;150,00
Mariah Carvalho;728.469.315-00;TITULAR;250,00
Ana Lívia Carvalho;340.827.615-35;PAI/MÃE;250,00
Bryan Carvalho;702.461.835-35;PAI/MÃE;250,00
Alícia Novais;846.375.190-39;TITULAR;150,00
Otávio Novais;351.608.279-86;FILHO(A);150,00
Davi Lucca Souza;483.591.276-46;TITULAR;200,00
Calebe Souza;187.094.632-40;MARIDO;200,00
Luan Souza;053.698.417-48;FILHO(A);200,00
Carlos Eduardo Castro;938.612.057-77;TITULAR;175,50
Isabel Castro;765.289.130-21;PAI/MÃE;175,50
Sabrina Castro;348.917.526-37;MARIDO;175,50
Maria Helena Castro;490.278.563-38;MARIDO;175,50
Caroline Silveira;397.685.142-64;TITULAR;300,00
Gabriela Silveira;563.742.801-80;PAI/MÃE;300,00
Calebe Silveira;672.301.458-80;ESPOSA;300,00
João Guilherme Costela;680.521.749-02;TITULAR;250,00
Maria Luiza Costela;825.609.143-60;ESPOSA;250,00
Nicole Costela;296.714.083-03;ESPOSA;250,00
Maria Júlia Correia;256.309.481-05;TITULAR;175,50
Nathan Correia;691.850.347-20;FILHO(A);175,50
Luara Correia;384.256.970-00;FILHO(A);175,50
Larissa Machado;061.948.352-06;TITULAR;200,00
Julia Machado;514.270.369-34;FILHO(A);200,00
Isadora Machado;108.367.459-57;FILHO(A);200,00
Heitor Machado;342.081.697-96;ESPOSA;200,00
Luiza Novais;376.054.982-92;TITULAR;175,50
Hellena Novais;843.975.602-00;ESPOSA;175,50
Thiago Novais;374.251.908-50;PAI/MÃE;175,50
João Lucas Novais;827.309.165-12;FILHO(A);175,50
Vitor Farias;753.684.912-55;TITULAR;250,00
Cauã Farias;890.647.123-87;PAI/MÃE;250,00
Emilly Farias;648.523.719-46;FILHO(A);250,00
Luana Farias;246.159.738-37;ESPOSA;250,00
Raul Camargo;860.254.931-89;TITULAR;300,00
Maria Isis Camargo;876.391.542-19;MARIDO;300,00
Lavínia Camargo;176.024.598-49;PAI/MÃE;300,00
Rebeca Freitas;350.219.874-88;TITULAR;175,50
Letícia Freitas;318.749.256-82;FILHO(A);175,50
Vitor Gabriel Rocha;746.281.093-03;TITULAR;250,00
Rhavi Rocha;278.053.416-80;PAI/MÃE;250,00
Lunna Rocha;569.183.407-00;FILHO(A);250,00
Bryan Moura;594.783.016-75;TITULAR;175,50
Caroline Moura;782.306.459-65;ESPOSA;175,50
Isabelly Moura;156.307.248-35;FILHO(A);175,50
Oliver da Mata;827.604.395-00;TITULAR;250,00
Ana Beatriz da Mata;047.231.689-31;FILHO(A);250,00
Breno da Mata;245.609.378-00;MARIDO;250,00
Emilly Cardoso;695.184.372-46;TITULAR;175,50
Isaac Cardoso;645.170.983-20;FILHO(A);175,50
Gabriela Cardoso;198.760.342-78;ESPOSA;175,50
Alícia Garcia;081.239.475-50;TITULAR;150,00
Ana Julia Garcia;852.794.610-67;PAI/MÃE;150,00
José Pedro Garcia;065.794.382-74;FILHO(A);150,00
Lorenzo da Rocha;495.362.870-56;TITULAR;300,00
Cauã da Rocha;513.498.276-73;FILHO(A);300,00
Nicolas da Rocha;079.641.852-76;FILHO(A);300,00
Daniel da Rocha;108.437.625-35;PAI/MÃE;300,00
Leonardo Araújo;837.201.945-23;TITULAR;175,50
Luana Araújo;640.927.138-78;MARIDO;175,50
André Araújo;157.246.893-91;FILHO(A);175,50
Davi Lucca Casa Grande;874.621.935-82;TITULAR;250,00
Stephany Casa Grande;260.579.381-86;PAI/MÃE;250,00
Isabela Novais;108.573.946-57;TITULAR;300,00
Anthony Gabriel da Rosa;630.184.927-22;TITULAR;300,00
Mathias da Rosa;192.508.763-86;MARIDO;300,00
Thales Sales;742.109.583-79;TITULAR;150,00
Gabriel Sales;423.819.057-23;FILHO(A);150,00
Olivia Sales;749.683.210-31;PAI/MÃE;150,00
Maria Julia Sales;298.367.410-03;FILHO(A);150,00
Oliver Sampaio;580.367.924-00;TITULAR;200,00
Anthony Gabriel Sampaio;390.514.267-80;FILHO(A);200,00
Mariane Sampaio;621.830.974-69;FILHO(A);200,00
Lucas Gabriel Lima;431.965.027-16;TITULAR;150,00
Joana Lima;421.937.065-06;ESPOSA;150,00
Matheus Lima;506.743.982-38;FILHO(A);150,00
Lara Sá;967.048.325-56;TITULAR;300,00
Arthur Sá;741.925.036-70;FILHO(A);300,00
Maria Liz Sá;571.329.860-40;MARIDO;300,00
Vitória Teixeira;692.047.851-01;TITULAR;250,00
Zoe Azevedo;736.291.845-37;TITULAR;150,00
Alexandre Santos;831.657.902-21;TITULAR;250,00
Luana Santos;318.605.492-33;ESPOSA;250,00
Raul Santos;692.513.807-59;PAI/MÃE;250,00
Marcos Vinicius Santos;079.456.238-83;MARIDO;250,00
Nicolas Monteiro;056.487.293-83;TITULAR;175,50
Maria Sophia Monteiro;078.625.391-68;FILHO(A);175,50
Ester Monteiro;431.568.270-53;FILHO(A);175,50
Daniel Aparecida;946.728.531-28;TITULAR;250,00
Isis Aparecida;246.093.158-15;FILHO(A);250,00
Breno Leão;651.042.987-01;TITULAR;300,00
Ana Sophia Leão;056.432.789-10;FILHO(A);300,00
Luiz Miguel Leão;437.069.185-01;PAI/MÃE;300,00
Vitor Hugo Fogaça;209.471.386-50;TITULAR;150,00
Felipe Fogaça;518.962.034-42;FILHO(A);150,00
Ryan Fogaça;864.512.073-90;FILHO(A);150,00
Thomas Vieira;839.612.470-13;TITULAR;175,50
Julia Vieira;985.437.160-39;MARIDO;175,50
Stephany Castro;164.928.035-15;TITULAR;150,00
Amanda Castro;490.251.687-01;PAI/MÃE;150,00
Guilherme Castro;071.486.325-44;PAI/MÃE;150,00
João Miguel Leão;907.218.643-50;TITULAR;175,50
Matteo Melo;498.206.315-05;TITULAR;250,00
Nina Melo;356.782.190-30;FILHO(A);250,00
Gabriel Melo;089.426.751-58;ESPOSA;250,00
Caio Carvalho;037.415.826-62;TITULAR;250,00
Antonella Carvalho;362.870.159-77;MARIDO;250,00
Anna Liz Carvalho;759.206.341-70;ESPOSA;250,00
Bianca Carvalho;042.578.916-02;PAI/MÃE;250,00
Fernando Pastor;462.589.013-60;TITULAR;200,00
Dante Castro;193.684.570-93;TITULAR;300,00
Zoe Castro;859.073.264-92;FILHO(A);300,00
Calebe Castro;167.825.043-08;FILHO(A);300,00
Luiz Felipe Montenegro;094.621.857-94;TITULAR;250,00
Aylla Montenegro;709.863.215-59;MARIDO;250,00
Ayla Rios;758.019.432-50;TITULAR;250,00
Gabriela Rios;057.914.863-75;FILHO(A);250,00
Ester Rios;485.376.901-39;FILHO(A);250,00
Helena Rios;048.576.193-93;ESPOSA;250,00
Milena Ribeiro;634.251.807-62;TITULAR;200,00
Augusto Ribeiro;015.496.328-33;FILHO(A);200,00
Marcos Vinicius Ribeiro;408.297.356-74;MARIDO;200,00
João Felipe Ribeiro;728.506.341-07;FILHO(A);200,00
Carlos Eduardo da Costa;571.690.384-39;TITULAR;200,00
Pietro Vasconcelos;869.357.201-68;TITULAR;300,00
Heloisa Vasconcelos;820.361.547-35;FILHO(A);300,00
Cecília Vasconcelos;569.134.872-82;FILHO(A);300,00
Lara Cardoso;379.681.204-03;TITULAR;175,50
Sara Cardoso;618.540.937-20;MARIDO;175,50
Beatriz Cardoso;360.598.214-05;FILHO(A);175,50
Eloá Cardoso;634.290.718-87;ESPOSA;175,50
Antônio Vargas;168.037.452-44;TITULAR;300,00
Miguel Vargas;518.497.032-05;ESPOSA;300,00
Zoe Vargas;897.023.154-41;FILHO(A);300,00
Maria Vargas;718.632.409-69;PAI/MÃE;300,00
Thiago Mendes;426.901.385-06;TITULAR;175,50
Levi Mendes;507.163.498-84;ESPOSA;175,50
Antony Mendes;421.630.879-13;PAI/MÃE;175,50
Valentina Marques;635.417.082-71;TITULAR;175,50
Maya Marques;598.073.412-05;PAI/MÃE;175,50
Maria Luiza Marques;542.783.901-14;PAI/MÃE;175,50
Clarice Marques;057.496.218-20;FILHO(A);175,50
Dante Pinto;019.273.586-12;TITULAR;250,00
Helena Pinto;193.258.467-64;MARIDO;250,00
Enzo Pinto;987.450.361-01;MARIDO;250,00
Luara Cavalcante;806.951.274-11;TITULAR;250,00
Thomas Rocha;018.249.637-69;TITULAR;150,00
Antonella Andrade;054.781.923-41;TITULAR;250,00
Carlos Eduardo Andrade;389.571.246-91;MARIDO;250,00
Mateus Andrade;509.186.237-40;ESPOSA;250,00
Bianca Brito;586.217.309-95;TITULAR;150,00
João Gabriel Correia;568.027.943-65;TITULAR;150,00
Maria Helena Correia;486.329.571-55;PAI/MÃE;150,00
Carolina Pinto;625.930.178-21;TITULAR;300,00
Yan Pinto;862.409.351-15;FILHO(A);300,00
Gabrielly Ferreira;976.825.314-28;TITULAR;175,50
Thomas Ferreira;238.406.957-83;FILHO(A);175,50
Davi Lucas Ferreira;215.863.074-44;FILHO(A);175,50
Noah Leão;483.069.715-66;TITULAR;150,00
Vinicius Leão;748.329.156-73;MARIDO;150,00
Nathan Costa;089.752.143-97;TITULAR;200,00
André da Luz;817.560.943-57;TITULAR;250,00
Lavínia Guerra;237.486.910-50;TITULAR;175,50
Luna Guerra;745.203.618-26;FILHO(A);175,50
Laura Guerra;016.379.842-78;PAI/MÃE;175,50
Maria Eduarda Rodrigues;149.520.683-15;TITULAR;300,00
Heloisa Rodrigues;638.175.092-86;FILHO(A);300,00
Ravi Rodrigues;675.029.341-70;FILHO(A);300,00
Erick Rodrigues;526.890.731-02;MARIDO;300,00
Luna Nogueira;820.537.194-60;TITULAR;150,00
Lucas Nogueira;580.936.721-68;MARIDO;150,00
Alícia Nogueira;754.691.028-58;FILHO(A);150,00
João Guilherme das Neves;571.902.836-68;TITULAR;250,00
João das Neves;390.245.817-88;ESPOSA;250,00
Maria Luísa das Neves;394.182.657-37;PAI/MÃE;250,00
Nina Silveira;326.890.174-31;TITULAR;200,00
Manuella Silveira;298.654.307-38;FILHO(A);200,00
Gael Henrique Silveira;235.814.906-33;PAI/MÃE;200,00
Rodrigo Lima;341.079.586-39;TITULAR;250,00
Clara Lima;067.923.541-80;FILHO(A);250,00
Ana Julia Lima;130.589.764-10;FILHO(A);250,00
Caleb Lima;403.756.189-10;FILHO(A);250,00
Stephany Marques;179.053.462-34;TITULAR;300,00
Davi Marques;704.286.935-47;ESPOSA;300,00
Mariah Marques;154.023.698-60;MARIDO;300,00
Clara Viana;253.714.680-80;TITULAR;150,00
Ana Júlia Viana;502.768.149-67;FILHO(A);150,00
Zoe Viana;437.608.912-50;PAI/MÃE;150,00
Bryan Viana;231.978.560-40;MARIDO;150,00
Yan Nogueira;126.854.037-44;TITULAR;200,00
Joana Sousa;192.807.643-22;TITULAR;250,00
Allana Sousa;795.016.384-48;MARIDO;250,00
Enzo Alves;980.741.365-66;TITULAR;150,00
Marcos Vinicius Alves;023.498.157-14;FILHO(A);150,00
Pietro Alves;517.083.694-57;FILHO(A);150,00
Liz Almeida;087.269.514-01;TITULAR;200,00
Bruno Almeida;824.015.937-05;ESPOSA;200,00
Bárbara Almeida;370.921.458-05;FILHO(A);200,00
Davi Lucas Almeida;874.321.906-31;FILHO(A);200,00
Heitor Dias;697.018.235-59;TITULAR;250,00
Levi Mendonça;183.705.629-30;TITULAR;175,50
Luna Mendonça;068.372.941-13;ESPOSA;175,50
Emanuel Andrade;764.203.958-10;TITULAR;200,00
